tSNE_1,tSNE_2,KMeans_Profile,Customer_Profile
77.62951,-6.290899,2,2
-35.709404,23.843592,1,1
-26.058022,-2.4843922,0,1
-30.144173,47.571285,1,1
8.392079,-16.770119,3,3
-44.64339,24.074802,1,5
-2.3758292,-8.618617,3,3
-42.061863,-12.28894,0,4
-55.98183,-19.848019,0,4
0.21229745,27.062653,1,5
-1.5448991,19.108044,1,5
-50.943207,-40.672276,0,4
-21.028353,-37.83183,0,5
-1.8722593,57.01046,1,5
-31.263119,12.747558,1,3
16.305735,-35.939854,3,3
59.07692,5.0294247,2,2
-46.30097,24.476948,1,1
-52.997173,-8.604859,0,1
84.88458,-13.623914,2,2
-44.09968,4.0879374,0,4
0.8829355,64.28931,1,2
-23.067728,-31.84088,0,4
17.102356,1.0490545,3,3
43.042923,-8.532365,2,2
49.245346,-7.899994,2,2
-55.613853,-30.202217,0,4
-9.636111,48.745415,1,1
-10.052299,-33.162685,0,3
21.394762,-17.447374,3,3
-2.100232,38.17408,1,5
-12.3258915,60.309193,1,1
-42.012547,25.796158,1,1
-57.66875,-9.586355,0,4
-8.075165,0.09133694,0,5
-22.168503,-46.11574,0,4
18.944965,-13.664326,3,3
-55.45399,-10.067594,0,1
14.550963,-21.09577,3,3
-39.52926,2.137221,0,1
-37.041565,4.524949,0,1
-16.877956,63.030632,1,5
-33.35606,-14.275486,0,4
-9.188443,38.030632,1,1
-20.18016,55.450768,1,1
-21.130611,26.430712,1,1
-4.9487605,-20.306519,0,5
55.666595,-29.443651,2,2
7.5407233,-16.772686,3,3
-14.589462,48.32631,1,1
36.31558,-9.677278,3,2
-33.71272,-28.601954,0,4
-35.83534,-46.235226,0,4
-35.14095,13.472713,1,1
-54.33495,-19.014643,0,4
-19.314384,38.612343,1,1
30.460793,-20.899916,3,2
48.245018,-28.187187,3,2
-2.979329,63.29615,1,1
70.28568,-26.913708,2,2
-30.383911,-25.539513,0,4
-15.844204,-14.020046,0,4
71.30387,-17.29981,2,2
59.194565,-24.73642,2,2
9.40488,65.85613,1,5
-48.221653,11.289148,0,1
-44.29925,-25.809374,0,4
-35.17597,-24.316563,0,4
-31.177177,39.050392,1,1
-29.596384,60.79416,1,1
18.914305,-31.884056,3,3
38.18811,-19.354668,2,3
39.915176,-15.62994,3,2
68.1192,-28.671923,2,2
35.236485,-6.838231,3,2
9.92752,35.993587,1,5
-36.880318,48.594215,1,1
59.688423,-19.295149,2,2
-12.106332,-32.93996,0,4
-44.749226,-2.0964098,0,1
-9.140434,62.96467,1,1
6.9481955,51.054237,1,5
-47.429943,-22.376736,0,3
20.054981,-35.038715,3,3
5.542838,34.32455,1,5
45.239227,-26.539682,3,2
-32.512074,-12.759087,0,4
-15.434831,0.55525225,0,4
-24.800707,13.123816,1,5
-44.16589,-7.5024495,0,4
-39.5775,-22.638783,0,4
11.619171,64.1427,1,5
-49.50158,-41.042915,0,4
-23.496414,10.863525,0,5
-20.403383,37.68664,1,1
-1.1477634,-32.11141,3,3
87.15922,-8.445884,2,2
26.909697,-16.264088,3,3
-56.95667,-10.040998,0,4
-36.816696,15.178357,1,1
-52.922318,-16.556692,0,4
83.18155,-11.29661,2,2
16.537468,-0.13143967,3,3
14.401206,52.476646,1,5
91.34082,-9.692083,2,2
24.289852,-36.900852,3,3
20.190546,4.395053,3,3
-28.004303,-42.925552,0,4
-17.349194,8.619642,0,5
74.750114,-10.99202,2,2
0.15793589,20.168722,1,5
-42.221645,38.796715,1,1
-34.45102,29.530972,1,1
41.33218,8.790996,2,3
-27.608343,-47.90759,0,4
-46.584507,29.94735,1,1
-44.28861,-22.520947,0,4
-33.37697,48.926476,1,1
-22.094227,-25.567093,0,3
4.359807,-35.570972,3,3
-25.315493,-38.67962,0,4
2.5830028,-22.783348,3,3
-42.24062,-24.482021,0,4
-8.287403,-32.63418,0,4
85.54145,-17.352995,2,2
2.3579748,58.604343,1,5
18.466728,35.88392,1,5
-19.227676,17.851969,1,5
-22.980482,-51.030537,0,4
6.4895196,20.149555,1,5
-52.070312,-38.12842,0,4
12.636747,-27.526325,3,3
15.17668,-14.453879,3,4
43.6127,-34.12786,3,2
-42.086548,-31.932728,0,4
35.183216,3.78861,3,3
-47.53923,1.2301569,0,4
-35.447792,24.236456,1,1
-39.57881,42.33448,1,1
-17.340275,-24.360153,0,4
47.552605,-17.66873,2,2
63.87044,-28.75194,2,2
-1.8938566,35.43761,1,5
66.04312,-24.978954,2,2
-21.27292,17.213821,1,1
-22.231894,-26.358995,0,4
-51.667854,28.791561,1,1
32.920826,-7.9539375,3,3
-29.976704,-1.6759423,0,1
-49.74992,-20.226086,0,3
-30.356844,-50.817345,0,4
-35.904182,2.1251557,0,1
-20.33566,-21.57038,0,3
-25.101608,44.415073,1,1
11.6054535,62.031822,1,5
85.97283,-13.796206,2,2
51.75898,-30.745005,3,2
-6.3016057,10.959469,1,1
-45.11609,-1.4802103,0,1
-48.435177,-17.028019,0,4
-6.8007436,41.602768,1,5
-33.636642,-29.273329,0,4
